time-sec,depth-m,ODBA
14122,1.84416,0.294078276
14123,1.82224,0.519566154
14124,1.78912,0.330505885
14125,1.74728,0.373242023
14126,1.70448,0.358771686
14127,1.6628,0.347921013
14128,1.62672,0.197616648
14129,1.59432,0.25476577
14130,1.56976,0.543265005
14131,1.54808,0.27894225
14132,1.53096,0.293496003
14133,1.52056,0.411797113
14134,1.52192,0.443016065
14135,1.53592,0.290375544
14136,1.55672,0.35620836
14137,1.57368,0.483405022
14138,1.5776,0.396559815
14139,1.56704,0.351625132
14140,1.54416,0.526041665
14141,1.52328,0.468146104
14142,1.51752,0.239041377
14143,1.52416,0.344716679
14144,1.53904,0.322691484
14145,1.55688,0.252027132
14146,1.56872,0.320430137
14147,1.5788,0.317110699
14148,1.59608,0.238154131
14149,1.62504,0.264928197
14150,1.6632,0.321820502
14151,1.70472,0.229016157
14152,1.73856,0.184109155
14153,1.76056,0.5144193
14154,1.77168,0.317642231
14155,1.7828,0.292777642
14156,1.80088,0.291004237
14157,1.82824,0.353618864
14158,1.85728,0.330981836
14159,1.88416,0.397803652
14160,1.89336,0.345462362
14161,1.88472,0.340097677
14162,1.8664,0.305557277
14163,1.85136,0.358555668
14164,1.84368,0.49899823
14165,1.85232,0.705118901
14166,1.87592,0.567595467
14167,1.9064,0.993047836
14168,1.9352,1.08615449
14169,1.95376,2.293422926
14170,1.95288,0.887496888
14171,1.93504,1.127510076
14172,1.90136,0.988240207
14173,1.8596,0.845178834
14174,1.82,0.328187898
14175,1.78952,0.411382215
14176,1.77136,0.523249898
14177,1.76768,0.628736693
14178,1.776,0.398190937
14179,1.78296,0.426597648
14180,1.78616,0.566614371
14181,1.78392,0.284561581
14182,1.77672,0.476853314
14183,1.76712,0.443591948
14184,1.76256,0.304110182
14185,1.76512,0.445391575
14186,1.77168,0.285176893
14187,1.78584,0.235043566
14188,1.80504,0.254121324
14189,1.82304,0.28165359
14190,1.8356,0.399247745
14191,1.84128,0.294849729
14192,1.83928,0.446875648
14193,1.82712,0.325336294
14194,1.80952,0.242697482
14195,1.79408,0.348965691
14196,1.78376,0.309729037
14197,1.78096,0.253137935
14198,1.7936,0.246067769
14199,1.82264,0.297695005
14200,1.86048,0.297358244
14201,1.8944,0.329481413
14202,1.91232,0.43623394
14203,1.91032,0.233944179
14204,1.89024,0.225758763
14205,1.86328,0.236725791
14206,1.844,0.280720898
14207,1.84128,0.278364845
14208,1.85312,0.421855218
14209,1.8796,0.335725071
14210,1.90576,0.29104081
14211,1.91976,0.411997107
14212,1.91816,0.255085873
14213,1.9072,0.329052583
14214,1.89224,0.298840019
14215,1.882,0.314874095
14216,1.88952,0.295578439
14217,1.91272,0.253098318
14218,1.9412,0.233166573
14219,1.96192,0.352756372
14220,1.9668,0.261955848
14221,1.95664,0.303760668
14222,1.9384,0.399185198
14223,1.92808,0.252957137
14224,1.9324,0.289539163
14225,1.95672,0.291334738
14226,1.98592,0.37877874
14227,2.0084,0.208908943
14228,2.00664,0.464475086
14229,1.98432,0.512124975
14230,1.948,0.388543647
14231,1.91064,0.392905768
14232,1.89008,0.371264189
14233,1.89552,0.387063825
14234,1.91632,0.5484305
14235,1.94064,0.434362359
14236,1.95904,0.274507565
14237,1.96344,0.433721831
14238,1.95512,0.54726138
14239,1.94424,0.527860381
14240,1.93688,0.444674008
14241,1.93584,0.3859057
14242,1.93928,0.434130971
14243,1.93888,0.687671788
14244,1.93112,0.57223964
14245,1.92056,0.590035178
14246,1.91416,0.293532762
14247,1.91112,0.313466483
14248,1.90936,0.505873988
14249,1.90784,0.306403057
14250,1.90184,0.229338167
14251,1.88944,0.40455813
14252,1.87264,0.365402027
14253,1.85528,0.210630337
14254,1.84432,0.277663406
14255,1.84328,0.312332328
14256,1.85104,0.393315435
14257,1.87096,0.263941738
14258,1.90048,0.356487524
14259,1.9316,0.369224159
14260,1.9568,0.331631437
14261,1.97488,0.26608653
14262,1.98232,0.237709081
14263,1.9856,0.313676317
14264,1.99144,0.38455944
14265,2.00328,0.380674958
14266,2.02312,0.233897342
14267,2.04784,0.245214143
14268,2.07224,0.260061719
14269,2.0868,0.312138173
14270,2.08824,0.273042797
14271,2.07416,0.280777862
14272,2.05208,0.306795952
14273,2.03152,0.403311135
14274,2.02344,0.333158289
14275,2.0356,0.297129144
14276,2.0688,0.33172986
14277,2.1076,0.387833698
14278,2.14104,0.323729497
14279,2.15688,0.278550892
14280,2.15216,0.476150145
14281,2.12888,0.371835497
14282,2.10032,0.331835631
14283,2.07968,0.255674554
14284,2.07592,0.200914362
14285,2.08936,0.329928278
14286,2.11472,0.250839077
14287,2.14584,0.212478217
14288,2.17072,0.276623543
14289,2.18456,0.219963852
14290,2.18936,0.352278682
14291,2.18728,0.383854331
14292,2.18488,0.30711693
14293,2.18464,0.263712219
14294,2.18992,0.262958568
14295,2.19608,0.254728975
14296,2.20376,0.346733691
14297,2.2128,0.292491648
14298,2.21944,0.385998419
14299,2.22272,0.395885055
14300,2.22192,0.360921355
14301,2.21832,0.329523947
14302,2.21008,0.31965398
14303,2.20088,0.282476597
14304,2.18888,0.499706075
14305,2.17808,0.208249439
14306,2.17088,0.251770917
14307,2.16432,0.268894438
14308,2.16024,0.252217483
14309,2.16256,0.197963029
14310,2.16976,0.292243472
14311,2.17944,0.30740233
14312,2.19416,0.168766507
14313,2.2128,0.201564073
14314,2.23192,0.356190367
14315,2.248,0.245438351
14316,2.2616,0.30842051
14317,2.27264,0.350185204
14318,2.28416,0.138060248
14319,2.29768,0.329691589
14320,2.3176,0.316631894
14321,2.34016,0.3370725
14322,2.36592,0.276440002
14323,2.39664,0.291543703
14324,2.43376,0.314957806
14325,2.47368,0.249535145
14326,2.51912,0.350117683
14327,2.55848,0.218417732
14328,2.58304,0.258454746
14329,2.586,0.309647348
14330,2.57248,0.270106013
14331,2.55208,0.341501557
14332,2.5388,0.349632711
14333,2.54112,0.344328635
14334,2.56016,0.35319155
14335,2.58784,0.397022237
14336,2.60832,0.288800702
14337,2.61264,0.261869264
14338,2.598,0.440541863
14339,2.57248,0.589416283
14340,2.54976,0.479331146
14341,2.5432,0.369748757
14342,2.56296,0.581162685
14343,2.60272,0.481597159
14344,2.65376,0.397676953
14345,2.69824,0.423556595
14346,2.72608,0.305145375
14347,2.72648,0.330138584
14348,2.70088,0.388888816
14349,2.65752,0.44905069
14350,2.60952,0.503261571
14351,2.564,0.337627326
14352,2.53232,0.317645562
14353,2.51664,0.397848453
14354,2.51224,0.391781301
14355,2.51512,0.316381408
14356,2.51616,0.298888703
14357,2.5076,0.413750309
14358,2.48952,0.422794695
14359,2.46568,0.38028977
14360,2.43544,0.396389424
14361,2.39744,0.326368701
14362,2.35968,0.530463225
